,F06,F07,F08,F09,F11,F14,F18,F19,F21,F22,G01,G02,G03,G05,G07,G09,G10,L02,L03,L04,L06,L07,L08,L11,L13,L14,L15,L16,L17,L18,L20,L21,L22,L23,M02,M03,M04,M07,M08,M09,R03,R04,R05,R06,R08,R10,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu499,3,12,0,2,0,2,5,2,5,0,0,0,0,0,0,0,0,0,1,6,7,0,0,5,8,4,8,8,0,5,5,5,6,5,0,5,3,0,5,15,7,0,0,1,1,5,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.458669108669092)
Zotu696,0,4,2,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,3,0,0,3,0,0,2,0,2,1,0,1,1,0,1,3,5,0,2,1,0,4,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.576587301587296)
Zotu566,3,3,0,0,3,2,0,4,3,1,0,0,0,0,0,0,0,0,2,3,8,4,0,1,6,0,2,2,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.585256410256402)
Zotu643,0,2,3,2,3,6,17,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,3,0,5,0,2,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.59935897435897)
Zotu615,3,2,0,2,0,2,0,0,2,4,0,0,0,0,0,0,0,0,1,2,3,4,3,0,1,4,5,3,0,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(17.68553113553113)
Zotu540,0,5,0,0,3,2,2,8,2,3,0,0,0,0,0,0,0,0,0,3,4,5,11,0,7,0,5,5,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Moraxellaceae(99.99999999999999),Acinetobacter(99.99999999999999),Acinetobacter sp000632455(18.005555555555556)
Zotu1115,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.358974358974356)
Zotu1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.358974358974356)
Zotu722,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.403846153846144)
Zotu878,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.717948717948713)
Zotu1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.717948717948713)
Zotu842,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.7179487179487145)
Zotu1183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.8076923076923075)
Zotu1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(6.8076923076923075)
Zotu803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E brassicacearum_A(7.032051282051284)
Zotu605,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E lurida(5.312499999999999)
Zotu618,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E lurida(5.324909502262442)
Zotu565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,4,1,0,0,0,2,0,Bacteria(99.99999999999999),Proteobacteria(99.99999999999999),Gammaproteobacteria(99.99999999999999),Pseudomonadales(99.99999999999999),Pseudomonadaceae(99.99999999999999),Pseudomonas_E(99.99999999999999),Pseudomonas_E lurida(5.460011312217195)
